School Name,School State,School Ownership,Mean Earnings (6 Yrs after Entry),Std. Deviation Earning (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Std. Deviation Earning (10 Yrs after Entry),150% Completion Rate at 4Yr (%),Retention Rate 4Yr (%)
Strayer University-Florida,FL,Private ForProfit,38400.0,29300.0,53500.0,39800.0,30.0,51.72
University of North Texas at Dallas,TX,Public,39300.0,25800.0,49300.0,35100.0,32.56,65.89
University of Phoenix-Florida,FL,Private ForProfit,34200.0,29400.0,54900.0,43400.0,15.89,28.57
University of Phoenix-Michigan,MI,Private ForProfit,34200.0,29400.0,54900.0,43400.0,9.52,20.0
DeVry University-Arizona,AZ,Private ForProfit,37600.0,28600.0,50300.0,37800.0,27.36,47.62000000000001
DeVry University-Georgia,GA,Private ForProfit,37600.0,28600.0,50300.0,37800.0,23.68,44.83
DeVry University-Missouri,MO,Private ForProfit,37600.0,28600.0,50300.0,37800.0,32.48,66.67
DeVry University-North Carolina,NC,Private ForProfit,37600.0,28600.0,50300.0,37800.0,13.95,33.33
DeVry University-Pennsylvania,PA,Private ForProfit,37600.0,28600.0,50300.0,37800.0,22.95,44.44000000000001
DeVry University-Texas,TX,Private ForProfit,37600.0,28600.0,50300.0,37800.0,18.48,37.5
Warner Pacific College Adult Degree Program,OR,Private NonProfit,43000.0,28700.0,45200.0,31700.0,50.0,81.82000000000002
The Art Institute of San Antonio,TX,Private ForProfit,30400.0,22300.0,39100.0,29900.0,32.61,54.84
South University-Virginia Beach,VA,Private ForProfit,32500.0,27000.0,40200.0,31500.0,16.669999999999998,0.0
Herzing University-Kenosha,WI,Private ForProfit,30100.0,20500.0,41600.0,27900.0,34.78,77.78
Argosy University-Phoenix Online Division,AZ,Private ForProfit,34100.0,26000.0,45700.0,34300.0,4.81,30.11
Chamberlain University-Arizona,AZ,Private ForProfit,69800.0,34800.0,60400.0,33500.0,100.0,66.67
Fairleigh Dickinson University-Florham Campus,NJ,Private NonProfit,42300.0,29100.0,54400.0,44900.0,53.17,78.32000000000002
The Art Institute of Charleston,SC,Private ForProfit,27100.0,21400.0,36000.0,27500.0,20.87,49.12000000000001
South University-Tampa,FL,Private ForProfit,32500.0,27000.0,40200.0,31500.0,12.2,40.0
Argosy University-Nashville,TN,Private ForProfit,34100.0,26000.0,45700.0,34300.0,33.33,0.0
Ave Maria University,FL,Private NonProfit,30900.0,19600.0,33700.0,23700.0,64.97,74.09
SAE Expression College,CA,Private ForProfit,38500.0,31100.0,56700.0,49400.0,33.5,65.22
Argosy University-Los Angeles,CA,Private ForProfit,34100.0,26000.0,45700.0,34300.0,25.0,73.33
Neumont College of Computer Science,UT,Private ForProfit,66400.0,40800.0,75100.0,51300.0,53.790000000000006,78.4
Lake Forest College,IL,Private NonProfit,41100.0,25700.0,55600.0,35300.0,69.89999999999999,82.87
Bethany College,KS,Private NonProfit,32100.0,20800.0,45100.0,31200.0,42.33,49.12000000000001
Ottawa University-Ottawa,KS,Private NonProfit,41600.0,28800.0,48100.0,39600.0,31.41,51.24999999999999
Clear Creek Baptist Bible College,KY,Private NonProfit,28900.0,18600.0,31000.0,18300.0,56.25,64.71000000000001
Centenary College of Louisiana,LA,Private NonProfit,32900.0,22100.0,52500.0,38800.0,46.88,73.25
Midway University,KY,Private NonProfit,34600.0,22600.0,37400.0,26000.0,64.95,80.30000000000003
Murray State University,KY,Public,33100.0,22900.0,42300.0,29600.0,48.64,74.21
Franciscan Missionaries of Our Lady University,LA,Private NonProfit,46400.0,23900.0,49400.0,28400.0,46.58,59.62
