School Name,Completion Rate Group,150% Completion Rate at 4Yr (%),Retention Rate Group,Retention Rate 4Yr (%),Mean Earnings (10 Yrs after Entry)
Massachusetts Institute of Technology,90-100,92.76,90-100,98.28,153600.0
Stanford University,90-100,93.9,90-100,98.02,141300.0
Harvard University,90-100,97.23,90-100,97.35,139100.0
University of Pennsylvania,90-100,95.26,90-100,98.23,131600.0
Georgetown University,90-100,94.26,90-100,96.49,125200.0
Yale University,90-100,97.77,90-100,98.53,124400.0
Princeton University,90-100,97.48,90-100,97.95,116300.0
Columbia University in the City of New York,90-100,94.11,90-100,96.98,115600.0
Duke University,90-100,94.57,90-100,97.48,114500.0
Albany College of Pharmacy and Health Sciences,70-80,71.36,80-90,81.91000000000003,114200.0
Babson College,90-100,90.82,90-100,95.08,113300.0
Dartmouth College,90-100,96.57,90-100,96.4,110200.0
Maine Maritime Academy,60-70,62.13,80-90,85.92,107200.0
MCPHS University,70-80,77.92999999999998,80-90,85.28,106500.0
California Institute of Technology,90-100,93.64,90-100,97.92,106300.0
Harvey Mudd College,90-100,93.3,90-100,98.13,104200.0
Tufts University,90-100,92.08,90-100,95.5,103300.0
University of Chicago,90-100,94.22,90-100,98.89,103000.0
Carnegie Mellon University,80-90,89.75999999999998,90-100,96.42,103000.0
Cornell University,90-100,93.88,90-100,97.01,101200.0
United States Merchant Marine Academy,70-80,76.49000000000002,90-100,93.36,98600.0
University of Notre Dame,90-100,95.09,90-100,97.7,98400.0
Massachusetts Maritime Academy,70-80,75.63,80-90,87.07000000000002,96000.0
Colorado School of Mines,70-80,76.89,90-100,92.22,95600.0
Bentley University,80-90,88.67,90-100,93.54,95400.0
Lehigh University,80-90,88.82,90-100,94.53,94100.0
Northwestern University,90-100,93.51,90-100,97.97,93400.0
Washington and Lee University,90-100,91.7,90-100,95.37,93300.0
Claremont McKenna College,90-100,92.68,90-100,92.71,93200.0
Boston College,90-100,92.5,90-100,94.76,92500.0
University of the Sciences,60-70,69.59,80-90,84.83000000000001,92400.0
Stevens Institute of Technology,80-90,82.82000000000002,90-100,94.6,91900.0
Rice University,90-100,93.11,90-100,96.27,91600.0
