Admission Rate (%) Range,Average Mean Earnings (6 Years After Entry),Mean Earnings Count (6 Years After Entry),Average Mean Earnings (10 Years After Entry),Mean Earnings Count (10 Years After Entry),Mean Earnings Difference,Difference Percentages
0-10,0.0,0,0.0,0,0.0,0.0
10-20,0.0,0,0.0,0,0.0,0.0
20-30,0.0,0,0.0,0,0.0,0.0
30-40,26100.0,1,29400.0,1,3300.0,12.643678160919542
40-50,51850.0,4,53600.0,4,1750.0,3.3751205400192865
50-60,47775.0,4,57750.0,4,9975.0,20.87912087912088
60-70,47280.0,5,50720.0,5,3440.0,7.2758037225042305
70-80,44510.0,10,44870.0,10,360.0,0.8088070096607505
80-90,47630.0,10,58010.0,10,10380.0,21.792987612849043
90-100,42620.0,20,50520.0,20,7900.0,18.535898639136555
