Admission Rate (%) Range,Average Mean Earnings (6 Years After Entry),Mean Earnings Count (6 Years After Entry),Average Mean Earnings (10 Years After Entry),Mean Earnings Count (10 Years After Entry),Mean Earnings Difference,Difference Percentages
0-10,73069.23076923077,13,110623.07692307692,13,37553.846153846156,51.394883671965474
10-20,57334.61538461538,26,80326.92307692308,26,22992.307692307695,40.101965519554575
20-30,44732.43243243243,37,63016.21621621621,37,18283.78378378378,40.87366322276599
30-40,40844.0,50,53862.0,50,13018.0,31.8724904514739
40-50,37261.22448979592,98,47572.448979591834,98,10311.224489795917,27.672800963961002
50-60,36396.17834394905,157,46368.15286624204,157,9971.974522292992,27.398410976164637
60-70,38672.86432160804,199,49559.79899497487,199,10886.934673366835,28.1513533180005
70-80,40006.0773480663,181,50655.24861878453,181,10649.17127071823,26.618883871235035
80-90,39096.07843137255,102,49211.76470588235,102,10115.686274509797,25.873915442098376
90-100,34772.72727272727,77,43537.66233766234,77,8764.935064935067,25.206349206349216
