School ID,School Name,School State,School Ownership,Admission Rate (%),Mean Earnings (10 Yrs after Entry),Mean Earnings (6 Yrs after Entry)
166683,Massachusetts Institute of Technology,MA,Private NonProfit,7.939999999999999,153600.0,99600.0
243744,Stanford University,CA,Private NonProfit,4.81,141300.0,92800.0
166027,Harvard University,MA,Private NonProfit,5.4,139100.0,91300.0
215062,University of Pennsylvania,PA,Private NonProfit,9.44,131600.0,91200.0
131496,Georgetown University,DC,Private NonProfit,16.85,125200.0,81100.0
130794,Yale University,CT,Private NonProfit,6.32,124400.0,67800.0
186131,Princeton University,NJ,Private NonProfit,6.52,116300.0,73600.0
190150,Columbia University in the City of New York,NY,Private NonProfit,6.83,115600.0,77900.0
198419,Duke University,NC,Private NonProfit,10.83,114500.0,93200.0
188526,Albany College of Pharmacy and Health Sciences,NY,Private NonProfit,69.17,114200.0,94500.0
164580,Babson College,MA,Private NonProfit,24.59,113300.0,77000.0
182670,Dartmouth College,NH,Private NonProfit,10.59,110200.0,74600.0
166656,MCPHS University,MA,Private NonProfit,84.48,106500.0,82200.0
110404,California Institute of Technology,CA,Private NonProfit,8.07,106300.0,68500.0
115409,Harvey Mudd College,CA,Private NonProfit,12.87,104200.0,87200.0
168148,Tufts University,MA,Private NonProfit,14.29,103300.0,56600.0
144050,University of Chicago,IL,Private NonProfit,7.939999999999999,103000.0,72100.0
211440,Carnegie Mellon University,PA,Private NonProfit,21.71,103000.0,84000.0
190415,Cornell University,NY,Private NonProfit,14.09,101200.0,76300.0
152080,University of Notre Dame,IN,Private NonProfit,18.73,98400.0,69700.0
164739,Bentley University,MA,Private NonProfit,46.32,95400.0,67000.0
213543,Lehigh University,PA,Private NonProfit,26.11,94100.0,67300.0
147767,Northwestern University,IL,Private NonProfit,10.66,93400.0,71900.0
234207,Washington and Lee University,VA,Private NonProfit,23.58,93300.0,58900.0
112260,Claremont McKenna College,CA,Private NonProfit,9.44,93200.0,68200.0
164924,Boston College,MA,Private NonProfit,31.14,92500.0,64900.0
215132,University of the Sciences,PA,Private NonProfit,59.74,92400.0,74900.0
186867,Stevens Institute of Technology,NJ,Private NonProfit,39.11,91900.0,67900.0
227757,Rice University,TX,Private NonProfit,15.27,91600.0,68300.0
168342,Williams College,MA,Private NonProfit,17.61,89800.0,51400.0
201645,Case Western Reserve University,OH,Private NonProfit,35.44,89300.0,69900.0
162928,Johns Hopkins University,MD,Private NonProfit,12.839999999999998,89300.0,68000.0
217156,Brown University,RI,Private NonProfit,9.31,89100.0,64800.0
123961,University of Southern California,CA,Private NonProfit,16.619999999999994,88800.0,61400.0
166124,College of the Holy Cross,MA,Private NonProfit,38.46,88600.0,55500.0
152318,Rose-Hulman Institute of Technology,IN,Private NonProfit,61.07,88500.0,70800.0
179867,Washington University in St Louis,MO,Private NonProfit,16.53,87900.0,63400.0
216597,Villanova University,PA,Private NonProfit,43.5,87600.0,64700.0
160755,Tulane University of Louisiana,LA,Private NonProfit,25.5,86300.0,48400.0
221999,Vanderbilt University,TN,Private NonProfit,10.75,86200.0,61900.0
194824,Rensselaer Polytechnic Institute,NY,Private NonProfit,44.35,86000.0,66700.0
122931,Santa Clara University,CA,Private NonProfit,48.3,85300.0,63900.0
168421,Worcester Polytechnic Institute,MA,Private NonProfit,48.44,84600.0,66300.0
139658,Emory University,GA,Private NonProfit,25.290000000000006,84400.0,65500.0
120883,University of the Pacific,CA,Private NonProfit,65.99000000000001,84200.0,61000.0
161004,Bowdoin College,ME,Private NonProfit,14.84,83300.0,57100.0
164465,Amherst College,MA,Private NonProfit,13.69,83300.0,61600.0
211291,Bucknell University,PA,Private NonProfit,29.92,82400.0,62400.0
131469,George Washington University,DC,Private NonProfit,40.21,82400.0,58600.0
190099,Colgate University,NY,Private NonProfit,28.78,81100.0,54300.0
213385,Lafayette College,PA,Private NonProfit,28.29,80500.0,58400.0
196866,Union College,NY,Private NonProfit,36.9,80200.0,51400.0
129242,Fairfield University,CT,Private NonProfit,61.47,80100.0,56500.0
199847,Wake Forest University,NC,Private NonProfit,30.34,79600.0,62900.0
233374,University of Richmond,VA,Private NonProfit,32.48,78900.0,51900.0
197708,Yeshiva University,NY,Private NonProfit,50.74999999999999,78800.0,48500.0
193900,New York University,NY,Private NonProfit,31.87,78600.0,55900.0
169983,Kettering University,MI,Private NonProfit,71.83,78500.0,66100.0
163046,Loyola University Maryland,MD,Private NonProfit,65.53,78300.0,52000.0
145725,Illinois Institute of Technology,IL,Private NonProfit,57.1,78000.0,60400.0
